Hz,dB
21734.4039917,-inf,
21734.4039917,-inf,
21733.7310791,-inf,
21733.7310791,-inf,
21733.0581665,-inf,
21733.0581665,-inf,
21732.3852539,-inf,
21732.3852539,-inf,
21731.7123413,-inf,
21731.7123413,-inf,
21731.0394287,-inf,
21731.0394287,-inf,
21730.3665161,-inf,
21730.3665161,-inf,
21729.6936035,-inf,
21729.6936035,-inf,
21729.0206909,-inf,
21729.0206909,-inf,
21728.3477783,-inf,
21728.3477783,-inf,
21727.6748657,-inf,
21727.6748657,-inf,
21727.0019531,-inf,
21727.0019531,-inf,
21726.3290405,-inf,
21726.3290405,-inf,
21725.6561279,-inf,
21725.6561279,-inf,
21724.9832153,-inf,
21724.9832153,-inf,
21724.3103027,-inf,
21724.3103027,-inf,
21723.6373901,-inf,
21723.6373901,-inf,
21722.9644775,-inf,
21722.9644775,-inf,
21722.2915649,-inf,
21722.2915649,-inf,
21721.6186523,-inf,
21721.6186523,-inf,
21720.9457397,-inf,
21720.9457397,-inf,
21720.2728271,-inf,
21720.2728271,-inf,
21719.5999146,-inf,
21719.5999146,-inf,
21718.927002,-inf,
21718.927002,-inf,
21718.2540894,-inf,
21718.2540894,-inf,
21717.5811768,-inf,
21717.5811768,-inf,
21716.9082642,-inf,
21716.9082642,-inf,
21716.2353516,-inf,
21716.2353516,-inf,
21715.562439,-inf,
21715.562439,-inf,
21714.8895264,-inf,
21714.8895264,-inf,
21714.2166138,-inf,
21714.2166138,-inf,
21713.5437012,-inf,
21713.5437012,-inf,
21712.8707886,-inf,
21712.8707886,-inf,
21712.197876,-inf,
21712.197876,-inf,
21711.5249634,-inf,
21711.5249634,-inf,
21710.8520508,-inf,
21710.8520508,-inf,
21710.1791382,-inf,
21710.1791382,-inf,
21709.5062256,-inf,
21709.5062256,-inf,
21708.833313,-inf,
21708.833313,-inf,
21708.1604004,-inf,
21708.1604004,-inf,
21707.4874878,-inf,
21707.4874878,-inf,
21706.8145752,-inf,
21706.8145752,-inf,
21706.1416626,-inf,
21706.1416626,-inf,
21705.46875,-inf,
21705.46875,-inf,
21704.7958374,-inf,
21704.7958374,-inf,
21704.1229248,-inf,
21704.1229248,-inf,
21703.4500122,-inf,
21703.4500122,-inf,
21702.7770996,-inf,
21702.7770996,-inf,
21702.104187,-inf,
21702.104187,-inf,
21701.4312744,-inf,
21701.4312744,-inf,
21700.7583618,-inf,
21700.7583618,-inf,
21700.0854492,-inf,
21700.0854492,-inf,
21699.4125366,-inf,
21699.4125366,-inf,
21698.739624,-inf,
21698.739624,-inf,
21698.0667114,-inf,
21698.0667114,-inf,
21697.3937988,-inf,
21697.3937988,-inf,
21696.7208862,-inf,
21696.7208862,-inf,
21696.0479736,-inf,
21696.0479736,-inf,
21695.375061,-inf,
21695.375061,-inf,
21694.7021484,-inf,
21694.7021484,-inf,
21694.0292358,-inf,
21694.0292358,-inf,
21693.3563232,-inf,
21693.3563232,-inf,
21692.6834106,-inf,
21692.6834106,-inf,
21692.010498,-inf,
21692.010498,-inf,
21691.3375854,-inf,
21691.3375854,-inf,
21690.6646729,-inf,
21690.6646729,-inf,
21689.9917603,-inf,
21689.9917603,-inf,
21689.3188477,-inf,
21689.3188477,-inf,
21688.6459351,-inf,
21688.6459351,-inf,
21687.9730225,-inf,
21687.9730225,-inf,
21687.3001099,-inf,
21687.3001099,-inf,
21686.6271973,-inf,
21686.6271973,-inf,
21685.9542847,-inf,
21685.9542847,-inf,
21685.2813721,-inf,
21685.2813721,-inf,
21684.6084595,-inf,
21684.6084595,-inf,
21683.9355469,-inf,
21683.9355469,-inf,
21683.2626343,-inf,
21683.2626343,-inf,
21682.5897217,-inf,
21682.5897217,-inf,
21681.9168091,-inf,
21681.9168091,-inf,
21681.2438965,-inf,
21681.2438965,-inf,
21680.5709839,-inf,
21680.5709839,-inf,
21679.8980713,-inf,
21679.8980713,-inf,
21679.2251587,-inf,
21679.2251587,-inf,
21678.5522461,-inf,
21678.5522461,-inf,
21677.8793335,-inf,
21677.8793335,-inf,
21677.2064209,-inf,
